year,county,season,crop,area_harvested_ha,rainfall_mm,avg_temp_c,fertiliser_use_kg_ha,seed_variety,yield_tonnes_ha
1990,Kericho,Short Rains,Beans,14.15,960.1,16.8,107.4,Hybrid,2.54
1990,Kericho,Short Rains,Maize,3.34,791.9,17.4,107.4,Improved Traditional,1.88
1990,Kericho,Short Rains,Tea,12.31,745.6,18.6,107.4,Hybrid,2.71
1990,Nyeri,Long Rains,Beans,11.16,616.2,17.1,50.7,Improved Traditional,1.05
1990,Nyeri,Long Rains,Maize,11.38,577.4,17.1,50.7,Hybrid,0.75
1990,Nyeri,Long Rains,Tea,12.95,493.7,15.2,50.7,Improved Traditional,1.59
1990,Nyeri,Long Rains,Coffee,2.0,886.5,15.5,50.7,Improved Traditional,1.47
1990,Nyeri,Short Rains,Beans,6.14,565.1,15.4,50.7,Improved Traditional,0.7
1990,Nyeri,Short Rains,Maize,14.28,394.9,15.3,50.7,Improved Traditional,0.42
1990,Nyeri,Short Rains,Tea,10.25,584.2,13.8,50.7,Traditional,0.94
1990,Nyeri,Short Rains,Coffee,1.82,542.4,16.8,50.7,Improved Traditional,0.82
1990,Muranga,Long Rains,Beans,5.59,394.8,20.1,59.9,Improved Traditional,0.29
1990,Muranga,Long Rains,Maize,10.74,911.9,17.5,59.9,Improved Traditional,2.34
1990,Muranga,Long Rains,Tea,14.8,881.4,17.4,59.9,Improved Traditional,2.08
1990,Muranga,Long Rains,Coffee,2.11,912.2,15.6,59.9,Improved Traditional,2.23
1990,Muranga,Short Rains,Beans,1.32,415.0,18.0,59.9,Traditional,0.27
1990,Muranga,Short Rains,Maize,4.64,576.0,18.6,59.9,Traditional,1.49
1990,Muranga,Short Rains,Tea,0.68,408.9,18.5,59.9,Improved Traditional,0.49
1990,Muranga,Short Rains,Coffee,9.63,607.9,18.6,59.9,Traditional,1.26
1990,Kiambu,Long Rains,Beans,1.16,905.6,18.9,53.5,Improved Traditional,1.77
1990,Kiambu,Long Rains,Maize,4.52,634.7,18.7,53.5,Traditional,1.38
1990,Kiambu,Long Rains,Coffee,14.63,463.6,18.7,53.5,Hybrid,0.53
1990,Kiambu,Short Rains,Beans,10.43,159.5,17.9,53.5,Improved Traditional,0.2
1990,Kiambu,Short Rains,Maize,1.16,625.5,18.3,53.5,Improved Traditional,1.45
1990,Kiambu,Short Rains,Coffee,14.82,412.3,17.2,53.5,Improved Traditional,0.79
1990,Kirinyaga,Long Rains,Beans,12.66,731.5,17.9,43.5,Improved Traditional,0.21
1990,Kirinyaga,Long Rains,Maize,12.29,555.6,17.9,43.5,Improved Traditional,1.15
1990,Kirinyaga,Long Rains,Coffee,12.82,898.0,18.4,43.5,Improved Traditional,1.49
1990,Kirinyaga,Long Rains,Rice,9.46,456.7,16.4,43.5,Traditional,0.51
1990,Kirinyaga,Short Rains,Beans,8.04,326.8,17.6,43.5,Traditional,0.2
1990,Kirinyaga,Short Rains,Maize,13.21,663.8,18.2,43.5,Traditional,1.79
1990,Kirinyaga,Short Rains,Coffee,11.45,299.6,17.7,43.5,Hybrid,0.37
1990,Kirinyaga,Short Rains,Rice,5.58,568.4,17.5,43.5,Hybrid,0.83
1990,Embu,Long Rains,Beans,7.95,763.8,20.6,34.0,Traditional,0.85
1990,Embu,Long Rains,Maize,13.0,522.4,21.1,34.0,Traditional,1.46
1990,Embu,Long Rains,Coffee,7.64,682.8,19.2,34.0,Improved Traditional,0.68
1990,Embu,Short Rains,Beans,1.6,519.4,17.8,34.0,Hybrid,0.47
1990,Embu,Short Rains,Maize,10.18,440.1,20.4,34.0,Traditional,1.06
1990,Embu,Short Rains,Coffee,2.95,323.3,18.9,34.0,Hybrid,0.24
1990,Meru,Long Rains,Beans,7.8,433.7,16.8,51.6,Traditional,0.45
1990,Meru,Long Rains,Maize,13.17,630.5,17.6,51.6,Hybrid,2.7
1990,Meru,Long Rains,Coffee,3.18,738.4,16.3,51.6,Traditional,1.05
1990,Meru,Long Rains,Potatoes,7.21,461.2,19.8,51.6,Traditional,1.83
1990,Meru,Short Rains,Beans,7.92,519.7,15.8,51.6,Improved Traditional,0.39
1990,Meru,Short Rains,Maize,4.4,416.8,18.8,51.6,Hybrid,0.4
1990,Meru,Short Rains,Coffee,3.57,381.3,16.9,51.6,Traditional,0.53
1990,Meru,Short Rains,Potatoes,11.94,359.4,17.3,51.6,Traditional,1.09
1990,Tharaka-Nithi,Long Rains,Beans,6.76,541.2,22.8,46.9,Traditional,0.68
1990,Tharaka-Nithi,Long Rains,Maize,9.87,493.1,19.2,46.9,Traditional,0.51
1990,Tharaka-Nithi,Short Rains,Beans,1.98,469.7,20.0,46.9,Hybrid,0.83
1990,Tharaka-Nithi,Short Rains,Maize,3.21,294.8,19.2,46.9,Hybrid,0.29
1990,Nyandarua,Long Rains,Beans,2.12,374.5,16.3,96.4,Improved Traditional,0.25
1990,Nyandarua,Long Rains,Maize,2.98,737.2,15.8,96.4,Hybrid,2.56
1990,Nyandarua,Long Rains,Potatoes,8.79,829.1,15.7,96.4,Traditional,9.8
1990,Nyandarua,Short Rains,Beans,7.86,373.2,14.8,96.4,Hybrid,0.2
1990,Nyandarua,Short Rains,Maize,4.69,418.6,15.1,96.4,Traditional,0.23
1990,Nyandarua,Short Rains,Potatoes,5.38,527.6,18.8,96.4,Hybrid,2.46
1990,Nairobi,Long Rains,Beans,7.34,630.3,20.3,19.0,Traditional,0.41
1990,Nairobi,Long Rains,Maize,12.54,335.1,17.8,19.0,Improved Traditional,0.34
1990,Nairobi,Short Rains,Beans,2.53,362.5,19.6,19.0,Improved Traditional,0.31
1990,Nairobi,Short Rains,Maize,2.88,282.7,19.7,19.0,Hybrid,0.2
1990,Machakos,Long Rains,Sorghum,6.19,224.0,22.4,75.5,Improved Traditional,0.2
1990,Machakos,Long Rains,Beans,11.34,662.5,21.2,75.5,Traditional,0.3
1990,Machakos,Long Rains,Maize,6.07,302.4,22.0,75.5,Improved Traditional,1.62
1990,Machakos,Short Rains,Sorghum,9.6,336.9,20.9,75.5,Improved Traditional,0.45
1990,Machakos,Short Rains,Beans,9.49,215.6,21.5,75.5,Improved Traditional,0.2
1990,Machakos,Short Rains,Maize,4.1,335.2,21.4,75.5,Traditional,1.38
1990,Makueni,Long Rains,Sorghum,2.1,505.2,23.6,40.1,Improved Traditional,0.78
1990,Makueni,Long Rains,Beans,3.82,608.4,23.5,40.1,Hybrid,0.77
1990,Makueni,Long Rains,Maize,4.15,571.8,25.7,40.1,Traditional,1.32
1990,Makueni,Short Rains,Sorghum,8.96,174.4,23.4,40.1,Improved Traditional,0.2
1990,Makueni,Short Rains,Beans,0.76,50.0,24.2,40.1,Traditional,0.2
1990,Makueni,Short Rains,Maize,10.75,505.8,24.7,40.1,Improved Traditional,1.18
1990,Kitui,Long Rains,Sorghum,14.05,315.6,26.8,13.6,Traditional,0.29
1990,Kitui,Long Rains,Beans,1.29,580.9,27.5,13.6,Traditional,0.2
1990,Kitui,Long Rains,Maize,5.34,617.1,23.8,13.6,Hybrid,1.34
1990,Kitui,Short Rains,Sorghum,11.19,50.0,24.2,13.6,Traditional,0.2
1990,Kitui,Short Rains,Beans,2.54,126.3,24.2,13.6,Traditional,0.2
1990,Kitui,Short Rains,Maize,8.92,149.3,25.5,13.6,Traditional,0.2
1990,Mombasa,Long Rains,Beans,7.78,836.0,27.5,14.8,Improved Traditional,0.2
1990,Mombasa,Long Rains,Maize,3.54,637.0,28.7,14.8,Traditional,0.21
1990,Mombasa,Short Rains,Beans,11.75,513.3,31.6,14.8,Hybrid,0.2
1990,Mombasa,Short Rains,Maize,6.31,718.8,25.3,14.8,Traditional,0.26
1990,Kilifi,Long Rains,Beans,5.91,626.7,26.7,27.0,Improved Traditional,0.24
1990,Kilifi,Long Rains,Maize,10.88,384.3,26.6,27.0,Hybrid,0.49
1990,Kilifi,Long Rains,Cassava,3.85,569.9,27.0,27.0,Hybrid,1.84
1990,Kilifi,Short Rains,Beans,1.94,359.6,27.6,27.0,Hybrid,0.2
1990,Kilifi,Short Rains,Maize,12.54,501.2,25.9,27.0,Improved Traditional,0.87
1990,Kilifi,Short Rains,Cassava,0.69,228.1,26.2,27.0,Improved Traditional,0.2
1990,Kwale,Long Rains,Beans,9.06,987.6,26.0,8.3,Traditional,0.2
1990,Kwale,Long Rains,Maize,8.5,828.0,25.8,8.3,Traditional,0.27
1990,Kwale,Long Rains,Cassava,6.67,622.0,28.7,8.3,Improved Traditional,0.87
1990,Kwale,Short Rains,Beans,2.52,801.6,28.3,8.3,Traditional,0.2
1990,Kwale,Short Rains,Maize,9.95,476.3,25.5,8.3,Traditional,0.39
1990,Kwale,Short Rains,Cassava,2.48,386.1,28.1,8.3,Hybrid,0.42
1990,Tana River,Long Rains,Beans,6.57,274.6,29.6,40.7,Improved Traditional,0.2
1990,Tana River,Long Rains,Maize,4.06,138.0,28.6,40.7,Traditional,0.2
1990,Tana River,Long Rains,Rice,10.93,222.6,28.0,40.7,Traditional,0.21
1990,Tana River,Short Rains,Beans,11.12,68.4,31.5,40.7,Improved Traditional,0.2
1990,Tana River,Short Rains,Maize,7.7,304.5,27.2,40.7,Hybrid,0.28
1990,Tana River,Short Rains,Rice,11.06,342.4,28.6,40.7,Hybrid,0.94
1990,Lamu,Long Rains,Beans,12.09,659.5,26.1,44.8,Improved Traditional,0.2
1990,Lamu,Long Rains,Maize,5.73,503.4,29.1,44.8,Traditional,0.2
1990,Lamu,Short Rains,Beans,12.2,399.3,29.3,44.8,Traditional,0.2
1990,Lamu,Short Rains,Maize,4.12,626.2,29.3,44.8,Improved Traditional,0.23
1990,Taita Taveta,Long Rains,Beans,10.61,650.7,23.2,24.4,Hybrid,0.55
1990,Taita Taveta,Long Rains,Maize,5.13,513.2,24.4,24.4,Improved Traditional,0.82
1990,Taita Taveta,Short Rains,Beans,1.62,164.7,23.6,24.4,Hybrid,0.2
1990,Taita Taveta,Short Rains,Maize,8.32,522.4,22.7,24.4,Traditional,0.95
1990,Garissa,Long Rains,Sorghum,3.88,277.9,33.0,18.5,Traditional,0.32
1990,Garissa,Long Rains,Beans,14.97,255.9,32.1,18.5,Improved Traditional,0.2
1990,Garissa,Long Rains,Maize,13.17,162.7,31.4,18.5,Traditional,0.2
1990,Garissa,Short Rains,Sorghum,3.96,50.0,29.9,18.5,Traditional,0.2
1990,Garissa,Short Rains,Beans,1.11,81.8,30.8,18.5,Hybrid,0.2
1990,Garissa,Short Rains,Maize,3.66,50.0,30.6,18.5,Traditional,0.2
1990,Wajir,Long Rains,Sorghum,14.87,318.0,32.2,16.7,Hybrid,0.74
1990,Wajir,Long Rains,Beans,3.7,277.9,31.1,16.7,Hybrid,0.2
1990,Wajir,Long Rains,Maize,1.34,215.7,32.3,16.7,Traditional,0.2
1990,Wajir,Short Rains,Sorghum,12.33,50.7,34.0,16.7,Hybrid,0.2
1990,Wajir,Short Rains,Beans,9.1,78.0,32.2,16.7,Traditional,0.2
1990,Wajir,Short Rains,Maize,13.39,128.8,32.6,16.7,Hybrid,0.2
1990,Mandera,Long Rains,Sorghum,5.9,229.8,33.0,30.4,Traditional,0.3
1990,Mandera,Long Rains,Beans,1.68,218.2,32.9,30.4,Traditional,0.2
1990,Mandera,Long Rains,Maize,12.46,104.8,29.8,30.4,Traditional,0.2
1990,Mandera,Short Rains,Sorghum,4.37,185.5,32.6,30.4,Traditional,0.26
1990,Mandera,Short Rains,Beans,10.77,126.1,35.1,30.4,Improved Traditional,0.2
1990,Mandera,Short Rains,Maize,9.47,137.6,35.0,30.4,Traditional,0.2
1990,Turkana,Long Rains,Sorghum,2.83,145.0,34.0,29.8,Traditional,0.2
1990,Turkana,Long Rains,Beans,9.45,190.0,34.7,29.8,Traditional,0.2
1990,Turkana,Long Rains,Maize,9.69,168.1,35.1,29.8,Traditional,0.25
1990,Turkana,Short Rains,Sorghum,14.46,120.8,35.3,29.8,Traditional,0.2
1990,Turkana,Short Rains,Beans,1.99,178.8,33.3,29.8,Improved Traditional,0.2
1990,Turkana,Short Rains,Maize,1.48,132.1,34.8,29.8,Traditional,0.2
1990,West Pokot,Long Rains,Beans,14.62,620.5,21.4,32.9,Improved Traditional,0.64
1990,West Pokot,Long Rains,Maize,0.82,545.8,21.4,32.9,Hybrid,1.73
1990,West Pokot,Short Rains,Beans,4.47,70.6,22.9,32.9,Traditional,0.2
1990,West Pokot,Short Rains,Maize,10.56,171.2,21.8,32.9,Improved Traditional,0.26
1990,Samburu,Long Rains,Beans,6.59,314.8,24.6,38.1,Improved Traditional,0.2
1990,Samburu,Long Rains,Maize,3.59,471.6,27.1,38.1,Hybrid,0.84
1990,Samburu,Short Rains,Beans,13.03,222.8,25.7,38.1,Traditional,0.2
1990,Samburu,Short Rains,Maize,11.68,214.2,26.3,38.1,Improved Traditional,0.34
1990,Baringo,Long Rains,Beans,13.85,622.6,21.9,29.6,Hybrid,0.58
1990,Baringo,Long Rains,Maize,2.2,708.1,23.6,29.6,Traditional,1.28
1990,Baringo,Short Rains,Beans,1.43,251.1,21.4,29.6,Traditional,0.2
1990,Baringo,Short Rains,Maize,5.0,139.9,23.7,29.6,Improved Traditional,0.2
1990,Laikipia,Long Rains,Wheat,9.2,558.7,18.2,59.6,Traditional,2.55
1990,Laikipia,Long Rains,Beans,7.47,428.3,19.4,59.6,Hybrid,0.9
1990,Laikipia,Long Rains,Maize,2.57,546.0,18.5,59.6,Improved Traditional,2.61
1990,Laikipia,Short Rains,Wheat,5.23,375.9,19.6,59.6,Hybrid,2.32
1990,Laikipia,Short Rains,Beans,0.98,255.0,19.0,59.6,Traditional,0.2
1990,Laikipia,Short Rains,Maize,12.11,275.4,19.2,59.6,Traditional,0.21
1990,Kisumu,Long Rains,Beans,0.96,675.7,22.3,52.6,Traditional,0.47
1990,Kisumu,Long Rains,Maize,10.85,1051.9,22.4,52.6,Improved Traditional,2.61
1990,Kisumu,Short Rains,Beans,7.06,668.9,22.1,52.6,Improved Traditional,0.88
1990,Kisumu,Short Rains,Maize,1.68,554.3,24.6,52.6,Traditional,0.85
1990,Siaya,Long Rains,Beans,8.55,899.8,23.9,52.1,Traditional,0.43
1990,Siaya,Long Rains,Maize,1.55,923.4,21.1,52.1,Traditional,2.43
1990,Siaya,Long Rains,Cassava,11.27,982.5,22.4,52.1,Traditional,0.97
1990,Siaya,Short Rains,Beans,7.56,356.8,20.6,52.1,Traditional,0.21
1990,Siaya,Short Rains,Maize,13.73,228.8,21.8,52.1,Traditional,0.25
1990,Siaya,Short Rains,Cassava,10.88,295.1,24.2,52.1,Hybrid,0.54
1990,Homa Bay,Long Rains,Beans,6.96,662.1,21.0,64.9,Improved Traditional,0.73
1990,Homa Bay,Long Rains,Maize,2.87,354.5,23.3,64.9,Traditional,0.39
1990,Homa Bay,Short Rains,Beans,11.72,446.6,24.0,64.9,Traditional,0.21
1990,Homa Bay,Short Rains,Maize,2.96,214.0,22.7,64.9,Hybrid,0.2
1990,Migori,Long Rains,Beans,9.45,866.9,22.5,63.8,Hybrid,0.69
1990,Migori,Long Rains,Maize,12.74,1016.3,22.0,63.8,Traditional,3.44
1990,Migori,Short Rains,Beans,3.48,665.3,22.6,63.8,Improved Traditional,0.51
1990,Migori,Short Rains,Maize,1.07,490.2,21.1,63.8,Improved Traditional,0.39
1990,Kajiado,Long Rains,Beans,1.1,304.5,20.8,23.7,Traditional,0.25
1990,Kajiado,Long Rains,Maize,7.09,431.7,21.5,23.7,Improved Traditional,0.32
1990,Kajiado,Short Rains,Beans,4.96,589.0,20.0,23.7,Hybrid,0.68
1990,Kajiado,Short Rains,Maize,14.56,169.1,21.8,23.7,Traditional,0.2
1990,Narok,Long Rains,Wheat,10.54,827.5,17.8,50.2,Hybrid,3.5
1990,Narok,Long Rains,Beans,0.94,967.0,19.2,50.2,Traditional,1.22
1990,Narok,Long Rains,Maize,3.63,696.2,18.5,50.2,Traditional,1.03
1990,Narok,Short Rains,Wheat,14.99,677.9,17.1,50.2,Traditional,2.5
1990,Narok,Short Rains,Beans,8.72,584.0,17.7,50.2,Improved Traditional,0.75
1990,Narok,Short Rains,Maize,12.21,486.6,16.0,50.2,Traditional,0.54
1990,Elgeyo-Marakwet,Long Rains,Beans,8.4,803.5,18.5,70.8,Hybrid,1.37
1990,Elgeyo-Marakwet,Long Rains,Maize,6.13,516.6,15.0,70.8,Traditional,0.45
1990,Elgeyo-Marakwet,Short Rains,Beans,9.25,414.8,15.4,70.8,Hybrid,0.2
1990,Elgeyo-Marakwet,Short Rains,Maize,6.01,623.8,18.8,70.8,Traditional,1.83
1990,Busia,Long Rains,Beans,6.01,753.7,20.0,76.9,Traditional,1.51
1990,Busia,Long Rains,Maize,12.29,514.0,22.8,76.9,Improved Traditional,2.25
1990,Busia,Long Rains,Cassava,1.37,789.0,20.5,76.9,Improved Traditional,1.96
1990,Busia,Long Rains,Rice,4.63,930.0,20.0,76.9,Traditional,1.49
1990,Busia,Short Rains,Beans,5.01,711.5,19.3,76.9,Traditional,1.36
1990,Busia,Short Rains,Maize,3.13,676.9,19.3,76.9,Hybrid,1.3
1990,Busia,Short Rains,Cassava,10.78,372.0,20.7,76.9,Traditional,0.39
1990,Busia,Short Rains,Rice,1.13,377.6,21.7,76.9,Traditional,0.41
1990,Isiolo,Long Rains,Beans,3.81,260.4,31.4,29.7,Improved Traditional,0.2
1990,Isiolo,Long Rains,Maize,12.68,287.4,28.4,29.7,Traditional,0.32
1990,Isiolo,Short Rains,Beans,12.43,218.8,30.9,29.7,Traditional,0.2
1990,Isiolo,Short Rains,Maize,9.55,298.9,29.0,29.7,Hybrid,0.73
1990,Marsabit,Long Rains,Beans,3.64,270.4,30.1,12.6,Improved Traditional,0.2
1990,Marsabit,Long Rains,Maize,9.12,348.3,29.2,12.6,Traditional,0.29
1990,Marsabit,Short Rains,Beans,10.58,173.9,31.0,12.6,Hybrid,0.2
1990,Marsabit,Short Rains,Maize,2.36,50.0,32.2,12.6,Improved Traditional,0.2
1991,Uasin Gishu,Long Rains,Wheat,13.47,474.4,16.8,150.7,Hybrid,1.91
1991,Uasin Gishu,Long Rains,Beans,8.03,405.4,16.2,150.7,Hybrid,0.31
1991,Uasin Gishu,Long Rains,Maize,9.94,540.9,15.2,150.7,Improved Traditional,0.82
1991,Uasin Gishu,Short Rains,Wheat,10.1,375.7,18.5,150.7,Improved Traditional,0.8
1991,Uasin Gishu,Short Rains,Beans,1.37,516.6,17.5,150.7,Hybrid,2.08
1991,Uasin Gishu,Short Rains,Maize,8.27,343.4,17.7,150.7,Hybrid,0.69
1991,Trans Nzoia,Long Rains,Wheat,12.03,489.0,15.6,107.2,Traditional,1.83
1991,Trans Nzoia,Long Rains,Beans,13.94,466.5,16.1,107.2,Improved Traditional,0.44
1991,Trans Nzoia,Long Rains,Maize,11.45,613.9,19.3,107.2,Hybrid,4.21
1991,Trans Nzoia,Short Rains,Wheat,10.78,404.0,16.3,107.2,Improved Traditional,0.93
1991,Trans Nzoia,Short Rains,Beans,6.98,229.1,14.3,107.2,Hybrid,0.2
1991,Trans Nzoia,Short Rains,Maize,7.71,434.4,19.5,107.2,Improved Traditional,0.91
1991,Nakuru,Long Rains,Wheat,12.19,551.0,18.2,107.5,Improved Traditional,2.89
1991,Nakuru,Long Rains,Beans,10.58,558.2,18.3,107.5,Hybrid,1.22
1991,Nakuru,Long Rains,Maize,12.43,464.0,18.5,107.5,Traditional,1.98
1991,Nakuru,Long Rains,Potatoes,7.79,541.2,20.2,107.5,Hybrid,5.88
1991,Nakuru,Short Rains,Wheat,1.49,195.8,18.2,107.5,Hybrid,0.64
1991,Nakuru,Short Rains,Beans,7.84,351.6,18.4,107.5,Hybrid,0.46
1991,Nakuru,Short Rains,Maize,3.63,208.1,18.3,107.5,Traditional,0.51
1991,Nakuru,Short Rains,Potatoes,14.93,418.9,18.3,107.5,Hybrid,2.9
1991,Nandi,Long Rains,Beans,1.4,507.9,16.8,113.7,Traditional,0.78
1991,Nandi,Long Rains,Maize,9.42,559.2,17.5,113.7,Improved Traditional,2.86
1991,Nandi,Long Rains,Tea,13.36,389.6,14.5,113.7,Hybrid,0.88
1991,Nandi,Short Rains,Beans,6.5,211.8,17.3,113.7,Hybrid,0.24
1991,Nandi,Short Rains,Maize,4.27,431.0,16.8,113.7,Hybrid,0.2
1991,Nandi,Short Rains,Tea,3.62,296.4,18.0,113.7,Hybrid,0.73
1991,Bungoma,Long Rains,Beans,12.74,583.4,16.9,124.5,Hybrid,1.31
1991,Bungoma,Long Rains,Maize,7.4,463.5,17.5,124.5,Traditional,0.48
1991,Bungoma,Short Rains,Beans,11.88,214.0,16.1,124.5,Hybrid,0.2
1991,Bungoma,Short Rains,Maize,12.69,488.9,17.3,124.5,Hybrid,1.41
1991,Kakamega,Long Rains,Beans,9.4,569.0,19.9,163.9,Traditional,0.54
1991,Kakamega,Long Rains,Maize,11.19,655.6,18.1,163.9,Hybrid,5.3
1991,Kakamega,Short Rains,Beans,0.68,441.8,18.6,163.9,Hybrid,0.49
1991,Kakamega,Short Rains,Maize,11.73,240.5,17.9,163.9,Hybrid,0.32
1991,Kisii,Long Rains,Beans,0.8,939.9,19.4,123.4,Hybrid,2.46
1991,Kisii,Long Rains,Maize,2.26,644.7,16.8,123.4,Hybrid,1.13
1991,Kisii,Short Rains,Beans,8.19,695.7,19.2,123.4,Traditional,0.33
1991,Kisii,Short Rains,Maize,11.35,634.8,18.6,123.4,Traditional,0.77
1991,Nyamira,Long Rains,Beans,3.76,889.8,17.6,123.5,Improved Traditional,0.92
1991,Nyamira,Long Rains,Maize,9.39,579.5,15.7,123.5,Hybrid,0.54
1991,Nyamira,Short Rains,Beans,12.33,435.6,18.4,123.5,Hybrid,0.4
1991,Nyamira,Short Rains,Maize,7.18,451.7,18.4,123.5,Improved Traditional,0.63
1991,Vihiga,Long Rains,Beans,8.4,771.9,20.4,71.0,Hybrid,1.25
1991,Vihiga,Long Rains,Maize,12.69,586.4,18.4,71.0,Traditional,0.54
1991,Vihiga,Short Rains,Beans,7.87,484.5,21.1,71.0,Traditional,0.23
1991,Vihiga,Short Rains,Maize,11.54,192.5,19.9,71.0,Traditional,0.2
1991,Bomet,Long Rains,Beans,3.46,464.1,16.8,106.5,Improved Traditional,0.21
1991,Bomet,Long Rains,Maize,3.23,778.2,17.5,106.5,Traditional,3.08
1991,Bomet,Long Rains,Tea,1.01,530.8,16.9,106.5,Improved Traditional,0.79
