Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,LogMonthlyIncome,YearsPerCompany,PromotionLag,IncomePerYear,HighRiskProfile
44,0,1,1459,10,4,4,1,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8.774312958,4.5,-1,646.5,0
30,0,1,125,9,2,4,1,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7.699389406,10,1,200.55,0
39,1,1,895,5,3,4,1,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7.643482907,6.333333333,0,104.3,0
24,1,1,813,1,3,2,1,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7.738052298,3,2,327.57,0
43,0,1,1273,2,2,4,0,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.880804345,6,-2,377.86,0
50,1,1,869,3,2,1,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7.895063498,3,-2,670.75,0
35,0,1,890,2,3,4,0,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7.608374474,2,0,671.33,0
36,0,1,852,5,4,2,0,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.13739583,0.666666667,-1,488.43,0
33,0,2,1141,1,3,3,0,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8.589885877,5,-2,488.73,0
35,0,1,464,4,2,3,1,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.576609767,1,0,975.5,0
27,0,1,1240,2,4,4,0,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.758760544,1,0,1170.5,0
26,1,1,1357,25,3,1,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.738052298,1,0,1146.5,0
27,0,2,994,8,3,4,1,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9.074176947,9,-7,872.6,1
30,0,2,721,1,2,3,0,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,8.297045149,12,-5,308.54,1
41,1,1,1360,12,3,2,0,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9.880525941,23,0,814.38,0
34,0,0,1065,23,4,2,1,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8.427049642,10,3,415.27,0
37,0,1,408,19,2,2,1,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.014004995,2,0,335.78,0
46,0,2,1211,5,4,1,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8.660947155,3.5,-6,384.8,0
35,0,1,1229,8,1,4,1,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.72753511,1,0,1134.5,0
48,1,1,626,1,2,1,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.590815331,2.555555556,0,224.21,0
28,1,1,1434,5,4,3,1,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8.143807977,2,0,1147,0
44,0,1,1488,1,5,2,0,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.604287898,1.8,-2,545.4,0
35,0,0,1097,11,2,3,1,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.198773736,5,2,898.55,0
26,0,1,1443,23,3,3,0,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,8.332789468,0.714285714,-2,692.83,0
33,0,2,515,1,2,1,0,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.507403306,15,-6,841.12,0
35,0,2,853,18,5,2,1,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9.112727543,9,-7,906.9,0
35,0,1,1142,23,4,3,0,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8.297792626,1.333333333,0,802.8,0
31,0,1,655,7,4,4,1,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.685415824,3.333333333,-6,537.73,0
37,0,1,1115,1,4,1,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.698514248,7,-5,749.12,0
32,0,1,427,1,3,1,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8.726318951,9,-1,616.2,0
38,0,2,653,29,5,4,0,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.786136438,10,6,218.73,0
50,0,1,989,7,2,2,0,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9.838468916,5.8,10,624.67,0
59,0,1,1435,25,3,1,0,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.940891068,4,-9,263.34,0
36,0,1,1223,8,3,3,0,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.219993629,17,-2,560.89,0
55,0,1,836,8,3,4,0,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9.599472825,10.5,0,670.73,0
36,0,2,1195,11,3,2,1,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.779557456,6,-5,928.43,0
45,0,1,1339,7,3,2,1,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.182455168,12.5,0,374,0
35,0,2,664,1,3,2,1,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7.693937326,1.25,-1,365.67,0
36,1,1,318,9,3,4,1,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,8.128290172,2,0,1129.33,0
59,0,2,1225,1,1,1,0,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.60776489,2.857142857,-2,260.62,0
29,0,1,1328,2,3,3,1,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.902487437,6,-4,386.14,0
31,0,1,1082,1,4,3,1,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7.824845691,1,0,1250.5,0
32,0,1,548,1,3,2,1,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8.735685945,10,-4,565.45,0
36,0,1,132,6,3,2,0,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.019283793,1.666666667,0,506.33,0
31,0,1,746,8,4,3,0,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.395025557,11,-6,368.67,0
35,0,1,776,1,4,3,1,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8.369388997,16,-11,253.65,0
45,0,1,193,6,4,4,1,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,9.491450899,4.25,0,735.83,0
37,0,1,397,7,4,1,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,9.522593098,4,-2,803.76,0
46,0,1,945,5,2,2,1,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.52158354,2,-2,295.35,0
30,0,1,852,1,1,4,1,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.542275972,10,-5,466,0
35,0,1,1214,1,3,2,1,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,7.958576904,6,-4,408.43,0
55,0,1,111,1,2,1,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9.234056899,8,1,409.56,0
38,0,0,573,6,3,2,0,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8.581106517,2.428571429,-10,296.06,0
34,0,1,1153,1,2,1,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8.372398607,5,-1,720.83,0
56,0,1,1400,7,3,4,1,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.890272839,9.25,-4,191.05,0
23,0,1,541,2,1,3,1,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7.750614733,1,0,580.5,0
51,0,1,432,9,4,4,1,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.638198244,3.333333333,-2,188.64,0
30,0,1,288,2,3,3,1,99,2,2,4,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.331586244,11,0,346,0
46,1,1,669,9,2,3,1,64,2,3,4,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,9.171599544,9,-4,961.9,0
40,0,2,530,1,4,3,1,78,2,4,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.510741217,22,8,587.09,0
51,0,1,632,21,4,3,1,71,3,2,4,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8.601901919,11,-6,453.42,0
30,0,1,1334,4,2,3,0,63,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.558335135,11,-6,434.08,0
46,0,2,638,1,3,3,1,40,2,3,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9.275566157,10.5,0,485.14,0
32,0,1,1093,6,4,2,1,87,3,2,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8.519390775,12,-3,385.38,0
54,0,1,1217,2,4,1,0,60,3,3,3,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9.514141826,1.777777778,-3,797,0
24,0,1,1353,3,2,1,0,33,3,2,3,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8.517193191,4,-2,999.8,0
28,0,0,120,4,3,2,1,43,3,2,3,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,8.348064228,5,-4,703.5,0
58,0,1,682,10,4,4,1,37,3,4,3,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,9.537699784,38,-9,355.69,0
44,0,0,489,23,3,2,1,67,3,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7.622174595,4.25,-1,113.44,0
37,1,1,807,6,4,3,1,63,3,1,1,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.637234389,1.75,-2,259.12,0
32,0,1,827,1,1,4,1,71,3,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.99193052,1,0,1478,0
20,1,2,871,6,3,4,0,66,2,1,4,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7.981733287,1,1,1463,1
34,0,1,665,6,4,1,0,41,3,2,3,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,8.478452363,16,-11,282.88,0
37,0,0,1040,2,2,3,1,100,2,2,4,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.549466752,3.4,0,286.83,0
59,0,0,1420,2,4,3,0,32,2,5,4,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.844002906,3.333333333,0,607.87,0
50,0,2,1115,1,3,1,0,73,3,5,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9.807692255,9.333333333,-3,626.62,0
25,1,1,240,5,3,3,1,46,2,2,3,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8.65608519,6,-4,820.57,0
25,0,1,1280,7,1,4,1,64,2,1,4,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7.969011781,2,0,963,0
22,0,1,534,15,3,2,0,59,3,1,4,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7.96276393,1,0,1435.5,0
51,0,2,1456,1,4,1,0,30,2,3,1,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8.920656297,7.666666667,0,311.83,0
34,1,2,658,7,3,1,1,66,1,2,3,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.711937268,9,-7,607.4,0
54,0,0,142,26,3,4,0,30,4,4,4,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9.760136678,11.5,1,722,0
24,0,1,1127,18,1,2,1,52,3,1,3,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.928406026,6,-2,396.29,0
34,0,1,1031,6,4,3,0,45,2,2,2,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.413165121,2,0,346.54,0
37,0,1,1189,3,3,3,1,87,3,3,4,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.913146539,6,-2,571.38,0
34,0,1,1354,5,3,3,0,45,2,3,1,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.3615152,7,-5,775.4,0
36,0,2,1467,11,2,2,0,92,3,3,4,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,9.183893722,10,-5,885.27,0
36,0,1,922,3,2,1,0,39,3,1,4,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.950149888,1.4,0,354.38,0
43,0,2,394,26,2,3,1,92,3,4,4,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9.738612909,25,-8,652.27,0
30,0,2,1312,23,3,1,1,96,1,1,3,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.868636894,10,-7,237.55,0
